subject_id,video_id,valence,arousal,eeg
1,1,4.0,3.0,[['baseline' 'stimuli']]
2,1,3.0,2.0,[['baseline' 'stimuli']]
3,1,3.0,4.0,[['baseline' 'stimuli']]
4,1,3.0,3.0,[['baseline' 'stimuli']]
5,1,4.0,2.0,[['baseline' 'stimuli']]
6,1,3.0,3.0,[['baseline' 'stimuli']]
7,1,3.0,3.0,[['baseline' 'stimuli']]
8,1,2.0,2.0,[['baseline' 'stimuli']]
9,1,3.0,2.0,[['baseline' 'stimuli']]
10,1,4.0,1.0,[['baseline' 'stimuli']]
11,1,2.0,3.0,[['baseline' 'stimuli']]
12,1,4.0,2.0,[['baseline' 'stimuli']]
13,1,4.0,3.0,[['baseline' 'stimuli']]
14,1,3.0,2.0,[['baseline' 'stimuli']]
15,1,3.0,2.0,[['baseline' 'stimuli']]
16,1,2.0,2.0,[['baseline' 'stimuli']]
17,1,2.0,1.0,[['baseline' 'stimuli']]
18,1,3.0,2.0,[['baseline' 'stimuli']]
19,1,3.0,2.0,[['baseline' 'stimuli']]
20,1,4.0,3.0,[['baseline' 'stimuli']]
21,1,4.0,2.0,[['baseline' 'stimuli']]
22,1,3.0,2.0,[['baseline' 'stimuli']]
23,1,4.0,1.0,[['baseline' 'stimuli']]
