Feature,ICC (Trait Stability),ICC_CI_Lower,ICC_CI_Upper
Base_Alpha_AF3,0.019635156146025644,-0.01,0.09
Stim_Alpha_AF3,0.3124254307338736,0.2,0.49
Base_Alpha_F3,0.01643203968091547,-0.01,0.08
Stim_Alpha_F3,0.20093946106830415,0.11,0.36
Base_Alpha_F4,0.020921252427906302,-0.01,0.09
Stim_Alpha_F4,0.17219251531224122,0.09,0.32
Base_Beta_AF3,0.40908938622396535,0.28,0.59
Stim_Beta_AF3,0.42409894706490164,0.29,0.61
Base_RMS_AF3,0.37428203787285114,0.25,0.56
Stim_RMS_AF3,0.4704154832864048,0.33,0.65
Base_FAA,0.5569532133201625,0.42,0.72
Stim_FAA,0.6635715135493221,0.53,0.8
